fid,id_renabap,Localidad,Municipio,Nombre del barrio,Nombre de barrio alternativo,Cantidad de familias,Origen relevamiento,Año de creación,Tamaño (km2),Década de creación,Clasificación del barrio,Situación dominial,Tipo de tierra,Tipo de Estado para tierras fiscales,Tipo de Estado para tierras fiscales_1,Electricidad,Disposición de excretas,Acceso al agua,Energía para cocinar,Energía para calefaccionar,Precariedad,Código de provincia,Nombre de provincia,Código de departamentos/comuna,Nombre de departamentos/comuna,Código de radio,Superficie en km2,Latitud del centroide,Longitud del centroide
"2572","2745",San Miguel De Tucumán,San Miguel De Tucumán,ATE,,"650","4","1986",0.25333334,"10","1","3","3",,"4","3","5","3","4","5","2","90",Tucumán,"90084",Capital,"900843009",0.25333334222876,-26.84763,-65.254745
"2573","2746",San Miguel De Tucumán,San Miguel De Tucumán,Parquecito 2,Parquesito 2 //,"40","4","1992",0.01427786,"11","1","3","3",,"4","4","2","3","4","3","3","90",Tucumán,"90084",Capital,"900841105",0.01427785773728,-26.825899,-65.176402
"2574","2747",San Miguel De Tucumán,San Miguel De Tucumán,Villa 9 de Julio 2,Asentamiento 2 Villa 9 de julio //,"25","4","1991",0.00385817,"11","1","3","3",,"4","4","5","3","4","5","1","90",Tucumán,"90084",Capital,"900841009",0.00385816869135,-26.813815,-65.171727
"2575","2748",San Miguel De Tucumán,San Miguel De Tucumán,Sin Nombre,s/n //,"12","4","2015",0.00572419,"13","1","3","3",,"4","4","5","3","4","5","1","90",Tucumán,"90063",Lules,"900630103",0.00572418502604,-26.852961,-65.275187
"2576","2749",San Miguel De Tucumán,San Miguel De Tucumán,Francisco 1,,"500","4","2011",0.16860015,"13","1","3","3",,"4","4","5","3","4","3","1","90",Tucumán,"90084",Capital,"900843019",0.16860015410314,-26.855975,-65.26976
"2577","2752",San Miguel De Tucumán,San Miguel De Tucumán,Villa Belgrano,,"50","4","1965",0.01631261,"8","1","3","3",,"4","3","2","3","4","3","2","90",Tucumán,"90084",Capital,"900841618",0.01631260658498,-26.829279,-65.250549
"2578","2753",San Miguel De Tucumán,San Miguel De Tucumán,Nueva Vida,,"150","4","1985",0.08484612,"10","1","1","3",,"4","3","4","3","4","5","3","90",Tucumán,"90084",Capital,"900843012",0.08484611737829,-26.8485,-65.265194
"2579","2754",San Miguel De Tucumán,San Miguel De Tucumán,San Aníbal,san anibal // el chavo diagonal sur,"1500","4","1980",0.60950455,"10","1","3","3",,"4","3","5","3","1","3","2","90",Tucumán,"90084",Capital,"900842913",0.60950454614145,-26.857805,-65.231062
"2580","2755",San Miguel De Tucumán,San Miguel De Tucumán,San Cristóbal,,"103","4","2000",0.05285216,"12","1","3","3",,"4","3","4","3","4","3","1","90",Tucumán,"90084",Capital,"900842908",0.05285216377998,-26.857087,-65.24275
"2581","2756",San Miguel De Tucumán,San Miguel De Tucumán,Barrio Santa Ana,,"200","4","1985",0.06064196,"10","1","2","3",,"4","3","2","3","4","3","2","90",Tucumán,"90084",Capital,"900842511",0.06064196341652,-26.839552,-65.245162
"2582","2757",San Miguel De Tucumán,San Miguel De Tucumán,Alejandro Heredia,topa,"2500","4","1996",0.47031977,"11","1","2","3",,"4","3","2","5","4","5","2","90",Tucumán,"90084",Capital,"900842806",0.47031977037212,-26.871523,-65.208373
"2583","2758",San Miguel De Tucumán,San Miguel De Tucumán,Ampliación San Nicolás,,"200","4","2007",0.05948736,"12","1","3","3",,"4","3","5","3","4","3","2","90",Tucumán,"90084",Capital,"900842615",0.05948736312984,-26.86098,-65.22663
"2584","2759",San Miguel De Tucumán,San Miguel De Tucumán,Costanera Norte,Cartonero,"600","4","1993",0.071243,"11","1","3","3",,"4","3","4","3","4","3","2","90",Tucumán,"90084",Capital,"900841107",0.07124300144709,-26.827451,-65.169607
"2585","2760",San Miguel De Tucumán,San Miguel De Tucumán,Autopista Sur,,"800","4","1996",0.28104611,"11","1","3","3",,"4","3","4","4","4","3","2","90",Tucumán,"90084",Capital,"900842223",0.28104610567222,-26.865339,-65.194761
"2586","2761",San Miguel De Tucumán,San Miguel De Tucumán,San Miguel,asentamiento 15 de noviembre,"600","4","1999",0.26671032,"11","1","2","3",,"4","3","3","12","4","5","3","90",Tucumán,"90063",Lules,"900630301",0.26671031763018,-26.859162,-65.262667
"2587","2762",San Miguel De Tucumán,San Miguel De Tucumán,Vázquez,Vazquez // Autopista sur,"250","4","1990",0.13883929,"11","1","3","3",,"4","3","5","3","4","5","4","90",Tucumán,"90084",Capital,"900842808",0.13883928739978,-26.872754,-65.201792
"2588","2763",San Miguel De Tucumán,San Miguel De Tucumán,Barrio Margaritas,B° Margaritas // circuito 14. la cortada daguero,"80","4","1996",0.09083815,"11","1","1","3",,"4","3","5","3","4","5","3","90",Tucumán,"90084",Capital,"900841003",0.09083815084503,-26.806628,-65.179552
"2589","2764",San Miguel De Tucumán,San Miguel De Tucumán,Ramón Ortega,ramon ortega // vaquez,"100","4","1970",0.0138686,"9","1","3","3",,"4","3","5","3","4","5","2","90",Tucumán,"90084",Capital,"900842610",0.01386860474008,-26.851482,-65.220393
"2590","2765",San Miguel De Tucumán,San Miguel De Tucumán,Sargento Lai,ampliacion villa alem,"200","4","1970",0.04603404,"9","1","3","3",,"4","3","5","3","4","3","2","90",Tucumán,"90084",Capital,"900842610",0.04603404298877,-26.853964,-65.220592
"2591","2766",San Miguel De Tucumán,San Miguel De Tucumán,Ampliación Federal,ampliacion federal //,"260","4","2005",0.12112676,"12","1","3","3",,"4","3","5","3","4","3","4","90",Tucumán,"90084",Capital,"900842808",0.12112676210913,-26.88678,-65.220825
"2592","2767",San Miguel De Tucumán,San Miguel De Tucumán,Villa Urquiza,Asentamiento Villa Urquiza //,"60","4","1995",0.04486016,"11","1","3","3",,"4","3","5","3","4","6","4","90",Tucumán,"90084",Capital,"900840609",0.04486015768849,-26.811427,-65.210725
"2593","2768",San Miguel De Tucumán,San Miguel De Tucumán,Ampliación Alejandro Heredia,,"1000","4","1997",0.24171881,"11","1","3","3",,"4","3","5","3","4","3","2","90",Tucumán,"90084",Capital,"900842804",0.24171880956891,-26.878589,-65.216711
"2594","2769",San Miguel De Tucumán,San Miguel De Tucumán,Ampliación Crucero Belgrano,,"260","4","2006",0.03641871,"12","1","3","3",,"4","4","5","3","4","3","2","90",Tucumán,"90084",Capital,"900842804",0.03641871467712,-26.882154,-65.21958
"2595","2770",San Miguel De Tucumán,San Miguel De Tucumán,Ampliación Álvarez Condarco,Ampliación alvarez Condarco //,"75","4","1971",0.02124665,"9","1","3","3",,"4","3","5","3","4","4","1","90",Tucumán,"90084",Capital,"900842615",0.02124665386747,-26.85928,-65.225749
"2596","2771",San Miguel De Tucumán,San Miguel De Tucumán,Villa Muñecas 1,Asentamiento en Villa Muñecas 1 //,"24","4","1990",0.0048419,"11","1","3","3",,"4","3","5","3","4","5","2","90",Tucumán,"90084",Capital,"900840202",0.00484189903979,-26.787884,-65.235942
"2597","2772",San Miguel De Tucumán,San Miguel De Tucumán,Agua Corriente (Orilla de Vía),Agua corriente (orilla de via) //,"50","4","1990",0.00902563,"11","1","3","3",,"4","3","5","3","4","5","2","90",Tucumán,"90084",Capital,"900840302",0.00902562973135,-26.790408,-65.22729
"2598","2773",San Miguel De Tucumán,San Miguel De Tucumán,Ampliación Villa Amalia,,"25","4","1996",0.0031968,"11","1","3","3",,"4","3","2","3","4","5","1","90",Tucumán,"90084",Capital,"900842613",0.00319679803936,-26.856447,-65.222519
"2599","2774",San Miguel De Tucumán,San Miguel De Tucumán,Canal Norte,Canal Norte (SECTOR 1) // canal norte (sector 1),"350","4","1976",0.10320153,"9","1","3","3",,"4","3","5","3","4","5","1","90",Tucumán,"90105",Tafí Viejo,"901050712",0.10320152733041,-26.787814,-65.226635
"2600","2775",San Miguel De Tucumán,San Miguel De Tucumán,Echeverría (Orilla Vía),Echeverria (orilla via) //,"45","4","2000",0.01346498,"12","1","3","3",,"4","4","5","3","4","5","1","90",Tucumán,"90084",Capital,"900840302",0.01346497549462,-26.789643,-65.230068
"2601","2776",San Miguel De Tucumán,San Miguel De Tucumán,Villa Muñecas 3,Asentamiento Villa Muñecas 3 //,"150","4","1966",0.03050507,"8","1","3","3",,"4","3","5","8","5","5","1","90",Tucumán,"90084",Capital,"900840101",0.03050507091674,-26.785521,-65.245963
