fid,ID Renabap,Nombre del barrio,Cantidad de familias que viven en el barrio,Año de creación del barrio,Década de creación del barrio,Tipología barrial,Situación dominial,Situación predominante sobre la conexión a energía eléctrica,Situación predominante sobre la conexión a la red cloacal,Situación predominante sobre la conexión a la red de agua,Situación predominante sobre la conexión a la red de gas,Localidad,Conteo de Registro Nacional de Barrios Populares en Registro Nacional de Barrios Populares,Código de provincia,Nombre de provincia,Código de departamento,Nombre de departamento,Código de radio,Superficie en km2,Latitud del centroide,Longitud del centroide
"2502","2745",ATE,"650","0","1980",Asentamiento,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900843009",0.25333334221198,-26.84763,-65.254745
"2503","2746",Parquecito 2,"40","0","1990",Asentamiento,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión irregular a la red,Red cloacal conectada a la red pluvial,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900841105",0.01427785772858,-26.825897,-65.176399
"2504","2747",Villa 9 de Julio 2,"25","0","1990",Villa,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900841009",0.00385816869165,-26.813815,-65.171727
"2505","2748",Sin Nombre,"19","2015","2010",Asentamiento,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90063",Lules,"900630103",0.01371823072632,-26.853285,-65.274458
"2506","2749",Francisco I,"500","2011","2010",Villa,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900843019",0.17343983403672,-26.855997,-65.269779
"2507","2752",Villa Belgrano,"50","0","1960",Asentamiento,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión formal a la red con medidor domiciliario con factura,Red cloacal conectada a la red pluvial,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900841618",0.01631260658519,-26.829279,-65.250549
"2508","2753",Nueva Vida,"150","0","1980",Asentamiento,"Boleto de compra-venta - (La mayoría de los vecinos cuentan con boleto de compra-venta, pero no tienen título.)",Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900843012",0.08484611738702,-26.8485,-65.265194
"2509","2754",San Aníbal,"1500","0","1980",Villa,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900842913",0.60950454617556,-26.857805,-65.231062
"2510","2755",San Cristóbal,"103","0","2000",Villa,"Ninguna seguridad en la tenencia - (La mayoría de los vecinos no tiene título de propiedad, ni boleto de compra-venta, ni ningún otro tipo de documento que dé seguridad en la tenencia.)",Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900842908",0.05285216377393,-26.857087,-65.24275
"2511","2756",Barrio Santa Ana,"200","0","1980",Villa,Otro tipo de seguridad en la tenencia - (La mayoría de los vecinos cuentan con otro tipo de seguridad de tenencia provista por el Estado),Conexión formal a la red con medidor domiciliario con factura,Red cloacal conectada a la red pluvial,Conexión irregular a la red de agua,Gas en garrafa,,verdadero,"90",Tucumán,"90084",Capital,"900842511",0.06064196340934,-26.839552,-65.245163
