fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2
"2492","2745",ATE,Tucumán,Capital,San Miguel De Tucumán,"350","385",Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,"160425"
"2493","2746",Parquecito II,Tucumán,Capital,San Miguel De Tucumán,"40","44",Década 1990,,Conexión irregular a la red,Red cloacal conectada a la red pluvial,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,"14255"
"2494","2747",Villa 9 de Julio II,Tucumán,Capital,San Miguel De Tucumán,"25","28",Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,"3852"
"2495","2748",Sin Nombre,Tucumán,Lules,El Manantial,"19","21",Década 2010,"2015",Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,"13696"
"2496","2749",Francisco I,Tucumán,Capital,San Miguel De Tucumán,"500","550",Década 2010,"2011",Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,"246554"
"2497","2752",Villa Belgrano,Tucumán,Capital,San Miguel De Tucumán,"50","55",Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Red cloacal conectada a la red pluvial,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,"16286"
"2498","2753",Nueva Vida,Tucumán,Capital,San Miguel De Tucumán,"150","165",Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,"84709"
"2499","2754",San Aníbal,Tucumán,Capital,San Miguel De Tucumán,"1500","1650",Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,"49786"
"2500","2755",San Cristóbal,Tucumán,Capital,San Miguel De Tucumán,"103","113",Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,"57902"
"2501","2757",Alejandro Heredia,Tucumán,Capital,San Miguel De Tucumán,"2500","2750",Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo comunitaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,"469575"
