ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
2760/2762,Tucumán,San Miguel de Tucumán,Los Vazquez y Autopista Sur,San Miguel de Tucumán,Provincia,POT,Centro de Atención Primaria en Adicciones (CEPLA),BID, En ejecución,"153,571,116.49",10/11/2022,97.78%
487,Buenos Aires,Florencio Varela,La Esperanza,Ingeniero Allan,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"21,392,455.17",,100.00%
4354/2134,Santiago del Estero/Salta,Santiago del Estero/Orán,La Católica/Pepito,Capital/Pichanal,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"42,821,421.72",,100.00%
3728/4354,Río Negro/Santiago del Estero,El Bolsón/Santiago del Estero capital,Alma Fuerte/La Católica,El Bolsón/Santiago del Estero capital,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"45,762,769.72",,100.00%
3088/3267,Formosa/Jujuy,Formosa/Dr. Manuel Belgrano,El Palomar/Obrero,Formosa/San Salvador De Jujuy,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"44,977,189.53",,100.00%
1748/1830/1762/1829,Santa Fe,Villa Gobernador Gálvez,Tablita 1/Triángulo/Alto Verde/La Antena,Villa Gobernador Gálvez,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"49,063,365.83",,100.00%
1619/397/1174,Córdoba/Buenos Aires,Cordoba Capital/San Isidro,Nuevo Progreso/La Cava/Veinte de Junio,Cordoba Capital/San Isidro,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"46,044,838.93",,100.00%
4295/2278,Buenos Aires/Chaco,Gral. Pueyrredón/Resistencia,San Jacinto/La Rubita,Mar del Plata/Resistencia,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"49,131,832.65",,100.00%
415,Buenos Aires,Almirante Brown,Nuevo Sol II,Glew,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"23,195,050.00",,100.00%
332/1349,Buenos Aires,La Matanza,Don Juan/Nicoll,Gregorio De Laferrere/Virrey del Pino,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"50,408,992.77",,100.00%
1026/1464,Buenos Aires,Tres de Febrero/San Miguel,Rayito de Sol/Gallo Rojo,Remedios De Escalada/Bella Vista,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"41,984,012.55",,100.00%
625/4526,Buenos Aires/Salta,General San Martín/Orán,Costa Esperanza/San Cayetano,Loma Hermosa/San Ramón De La Nueva Orán,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"32,163,496.00",,100.00%
436,Buenos Aires,Tigre,San Jorge,Don Torcuato,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"41,607,129.00",,100.00%
1530,Buenos Aires,Almirante Brown,Sakura,Burzaco,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"23,743,170.23",,100.00%
1192,Buenos Aires,Florencio Varela,Barrio Paraná,Villa San Luis,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"24,423,532.99",,100.00%
1561/3953/3952,Buenos Aires/Neuquén,General San Martín/San Martín de los Andes,Carcova/Esperanza Arriba/Barrio Parque Sur,J. L. Suarez/San Martín de Los Andes,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"50,227,379.67",,100.00%
1011/273,Buenos Aires,Lomas de Zamora,DAM/Santa Catalina,Villa Fiorito/Santa Catalina,OSC,MV,Contratación de obra y adquisición de bienes para la mejora de viviendas y las infraestructuras de relocalización temporal de las familias afectadas por el COVID 19,BID,Terminado,"41,698,882.54",,100.00%
