ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
397/1174/1251/2939/1261/545/2937/2880/2938,Buenos Aires,San Isidro,"La Cava, Veinte de Junio, Cava Chica, Sauce, San Cayetano, La Nueva Esperanza, Villa Ruedita, Ferroviario Santa Rosa, El Ombú",Beccar/Boulogne Sur Mer,Municipio,PrePEG,Diseño de un proyecto ejecutivo general para la urbanización de barrios en el municipio de San Isidro,FF,En ejecución,"27,023,392.00",,
Varios,Varios,Varios,Varios,Varios,OSC,VIVIENDA,Viviendas de emergencia,FF,Terminado,"272,522,404.00",2023-02-24,100.00%
Varios,Varios,Varios,Varios,Varios,OSC,VIVIENDA,Viviendas de emergencia,FF,Terminado,"193,855,717.00",2022-10-25,100.00%
5241/5242/5239,Corrientes,Monte Caseros,Fedullo/La Rana/San Ramon Sur,Monte Caseros,OSC,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"10,620,000.00",,
2933,Buenos Aires,Merlo,Belgrano/Merlo,Merlo,OSC,POT,"""Obras de infraestructura urbana Barrio Belgrano - Matera , Merlo""",FF,Terminado,"8,666,239.64",2020-12-29,100.00%
4459,Buenos Aires,La Matanza,Bicentenario,Virrey Del Pino,OSC,POT,"Obras de infraestructura urbana Barrio Bicentenario, La Matanza",FF,Terminado,"22,960,065.47",2020-08-17,100.00%
1797,Santa Fe,Rosario,Cañaveral,Rosario,OSC,POT,Equipamiento comunitario ,FF,Terminado,"27,258,695.89",2020-11-09,100.00%
4475,Buenos Aires,La Matanza,Los Paraguayos,Rafael Castillo,OSC,POT,"""Obras de infraestructura urbana Barrio Los Paraguayos""",FF,Terminado,"2,146,427.33",2020-10-30,100.00%
1837/1759,Santa Fe,Rosario,Nuevo Alberdi Oeste/Zona Rural,Rosario,OSC,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,En ejecución,"6,086,750.00",,
2502,Río Negro,Cipolletti,Obrero A y B,Cipolletti,OSC,POT,"""Conexiones Intra-Lote y domiciliaria de electricidad""",FF,Terminado,"26,539,833.47",2020-09-16,100.00%
4168,Entre Ríos,La Paz,Papa Francisco,La Paz,OSC,POT,"""Equipamiento comunitario""",FF,Terminado,"12,862,063.68",2020-09-16,100.00%
4277,Córdoba,Córdoba Capital,Parque Las Rosas,Córdoba Capital,OSC,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,En ejecución,"2,157,743.35",,
4277,Córdoba,Córdoba Capital,Parque Las Rosas,Córdoba Capital,OSC,POT,"""Equipamiento comunitario B Parque las rosas""",FF,Terminado,"13,229,195.75",2020-11-16,100.00%
584,Buenos Aires,Almirante Brown,Pueblo Unido,Glew,OSC,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,En ejecución,"7,939,621.75",,
584,Buenos Aires,Almirante Brown,Pueblo Unido,Glew,OSC,POT,"“Obras de Equipamiento urbano: Barrio Pueblo Unido, Almirante Brown”",FF,Terminado,"14,187,167.28",2021-03-04,100.00%
1353,Buenos Aires,La Matanza,Puerta de Hierro,San Justo,OSC,POT,"""Equipamiento comunitario""",FF,Terminado,"25,775,030.79",2020-11-16,100.00%
