Provincia,Municipio,ID RENABAP,Barrio,Obras no iniciadas,Obras en ejecución,Obras terminadas,Adjudicaciones rechazadas,Inversión total
Buenos Aires,Lomas de Zamora,25,Laberinto,0,1,6,2,2740000
Buenos Aires,La Plata,46,Sin Nombre,0,3,68,7,24260000
Buenos Aires,Esteban Echeverría,785,El Gauchito Gil,0,6,61,5,26710000
Buenos Aires,La Plata,31,Villa Las Rosas,0,1,12,0,3720000
Buenos Aires,La Plata,42,Las Palmeras,0,7,211,20,69310000
Buenos Aires,San Pedro,351,Estación San Pedro,0,1,20,2,6480000
Buenos Aires,José C. Paz,386,Alberdi,0,0,35,1,12680000
Buenos Aires,General Rodríguez,610,Selectos de Gaona,0,4,25,1,10420000
Buenos Aires,La Plata,28,El Rincón III,0,1,2,1,1950000
Buenos Aires,Berisso,1004,Puerto La Plata,0,2,4,0,2380000
Buenos Aires,Lomas de Zamora,34,Juan Domingo Perón,0,0,39,11,13620000
Buenos Aires,La Plata,39,La Esperanza,0,2,15,2,6750000
Buenos Aires,Pilar,318,Los Grillos,0,12,182,11,62980000
Buenos Aires,La Plata,44,El Triunfo,0,4,94,8,30130000
Buenos Aires,Almirante Brown,1425,Seis de Diciembre,0,4,46,4,16770000
Buenos Aires,Campana,48,Veintiuno de septiembre,0,11,189,19,66530000
Buenos Aires,La Matanza,1573,Susana,0,4,38,2,14820000
Buenos Aires,La Plata,24,La Banda,0,1,46,5,15850000
Buenos Aires,Merlo,1216,El Palenque,0,6,27,2,12340000
Buenos Aires,Pilar,27,Monterrey II,0,0,1,0,240000
Buenos Aires,La Plata,929,El Molino I,0,1,10,0,4200000
Buenos Aires,Quilmes,30,La Cañada,0,5,126,7,44610000
Buenos Aires,Almirante Brown,4608,La Matera,0,0,7,3,3700000
Buenos Aires,Avellaneda,32,Urquiza,0,0,9,1,3840000
Buenos Aires,Florencio Varela,264,La Carolina,1,11,239,18,94020000
Buenos Aires,La Plata,35,San Cayetano,0,2,82,1,26470000
Buenos Aires,La Plata,38,Las Casuarinas,0,0,15,3,5400000
Buenos Aires,Castelli,4518,Matadero,0,0,2,3,1920000
Buenos Aires,La Plata,41,Los Rosales,0,2,36,7,13790000
Buenos Aires,Lomas de Zamora,1289,Ciudad Jardín Santa Catalina,0,2,4,3,2960000
Buenos Aires,La Plata,43,Sin Nombre,0,3,9,2,5280000
Buenos Aires,Moreno,4738,Don José,0,0,2,0,850000
Buenos Aires,Lomas de Zamora,45,Nueva Fiorito,0,10,204,12,73160000
Buenos Aires,Almirante Brown,5393,Santa Rosa,0,2,9,0,5430000
Buenos Aires,Almirante Brown,182,San Jerónimo y Albeniz,0,1,21,2,8230000
Buenos Aires,Vicente López,369,La Fabrikita II,0,0,2,1,1080000
Buenos Aires,La Plata,49,Sin Nombre,0,3,42,2,15100000
Buenos Aires,Hurlingham,903,Los Patitos,0,2,16,2,6120000
Buenos Aires,Tigre,790,Alge II,0,1,3,0,2400000
Buenos Aires,Florencio Varela,817,Tres de Mayo,1,9,260,9,84520000
Buenos Aires,La Plata,837,Las Dos Manzanas,0,3,10,1,5520000
Buenos Aires,Necochea,629,Los Malvones,0,0,28,4,8880000
Buenos Aires,General Pueyrredón,876,Parque Peña,0,0,2,0,340000
Buenos Aires,La Plata,13,El Progreso,0,2,22,5,8270000
Buenos Aires,La Matanza,911,Los Vagones de Tablada,0,1,32,2,10240000
Buenos Aires,Luján,599,Villa María,0,0,3,0,1080000
Buenos Aires,Moreno,947,Dos de Abril,0,1,38,1,11740000
Buenos Aires,Berazategui,4599,San Blas,0,0,4,0,1590000
Buenos Aires,Berisso,985,COTILAP,0,0,57,3,18580000
Buenos Aires,La Plata,4617,La Piojera,0,0,7,1,3240000
Buenos Aires,Malvinas Argentinas,1022,Pech,1,4,115,5,39060000
Buenos Aires,Avellaneda,127,Matanza y José Martín de La Serna,0,0,5,0,1560000
Buenos Aires,Merlo,1056,San Eduardo,3,11,253,21,85720000
Buenos Aires,La Plata,1075,La Esperanza,0,12,329,16,97210000
Buenos Aires,Quilmes,1091,El Monte,0,17,347,25,121850000
Buenos Aires,Florencio Varela,505,Diagonal Vía Pública,0,0,4,1,1560000
Buenos Aires,La Matanza,5297,El Trébol,0,1,7,1,4350000
Buenos Aires,Lomas de Zamora,1166,Primero de Octubre,0,5,175,13,57700000
Buenos Aires,La Matanza,293,El Triángulo,0,0,5,3,3480000
Buenos Aires,La Matanza,4239,Puente 13,0,0,6,0,2160000
Buenos Aires,Vicente López,239,Dos de Abril,0,1,30,4,10420000
Buenos Aires,General Pueyrredón,306,Villa Evita,1,2,92,14,35470000
Buenos Aires,Almirante Brown,743,San Pablo II,0,0,6,0,1800000
Buenos Aires,Quilmes,1145,Sayonara II,0,9,261,23,83010000
Buenos Aires,General Pueyrredón,4274,Conventillo,0,0,16,0,3420000
Buenos Aires,General Rodríguez,1147,Parque Granaderos,1,10,125,7,42120000
Buenos Aires,Merlo,4452,Cabulli,0,7,104,4,33320000
Buenos Aires,Quilmes,1175,El Sol,0,4,100,7,34780000
Buenos Aires,Escobar,443,Primero de Julio,1,0,27,4,11020000
Buenos Aires,Almirante Brown,415,Nuevo Sol II,0,1,31,4,12440000
Buenos Aires,Moreno,1393,Dimini,0,1,2,0,940000
Buenos Aires,Zárate,347,Pecorena,0,0,22,2,8530000
Buenos Aires,Tigre,5326,Rialto,0,1,6,0,3360000
Buenos Aires,La Plata,91,La Bajada,0,0,24,1,7080000
Buenos Aires,General San Martín,359,La California,0,3,19,4,6760000
Buenos Aires,Balcarce,364,Sin Nombre,0,0,8,0,2040000
Buenos Aires,Moreno,1498,Bongiovanni,3,6,113,5,38580000
Buenos Aires,Chivilcoy,374,Rojas,0,0,18,1,5880000
Buenos Aires,Berisso,378,Santa Cruz,0,11,189,12,68220000
Buenos Aires,Florencio Varela,382,San Francisco Chico,0,2,57,5,20340000
Buenos Aires,Florencio Varela,735,Martín Gras y Calle 828,0,0,46,2,12810000
Buenos Aires,Quilmes,4604,La Ribera,0,2,92,13,33180000
Buenos Aires,Azul,115,San Martín de Porres,0,1,22,2,6820000
Buenos Aires,Lomas de Zamora,805,Sin Nombre,0,1,44,5,13740000
Buenos Aires,General San Martín,2934,Independencia,4,63,956,83,345250000
Buenos Aires,Presidente Perón,827,San Martín,0,2,95,10,30580000
Buenos Aires,Esteban Echeverría,783,San Nicolás,0,1,27,3,10220000
Buenos Aires,San Miguel,848,San Ambrosio II,0,2,40,2,15850000
Buenos Aires,Pilar,219,La Escondida,0,6,174,17,58360000
Buenos Aires,Hurlingham,867,Cristo Obrero,0,0,2,0,600000
Buenos Aires,La Plata,325,36 Bis y 135,0,0,5,0,1200000
Buenos Aires,Lomas de Zamora,886,Soledad,0,4,73,6,25700000
Buenos Aires,Zárate,287,Los Rosales,0,2,24,6,8080000
Buenos Aires,Hurlingham,902,Nuevo Parque Quirno,0,1,47,4,15100000
Buenos Aires,General Pueyrredón,444,El Martillo,0,0,33,4,11160000
Buenos Aires,Moreno,921,Seminario,0,1,21,3,7260000
Buenos Aires,Patagones,4919,Colonia Ferroviaria,0,1,4,0,2280000
Buenos Aires,Almirante Brown,937,El Trébol,0,0,2,0,480000
Buenos Aires,General San Martín,644,Trece de Julio,0,3,87,10,33430000
Buenos Aires,Ituzaingó,956,El Martillazo I,0,0,8,1,2280000
Buenos Aires,Pergamino,533,Santa Teresita,0,1,51,4,17990000
Buenos Aires,La Plata,975,El Retiro,1,6,237,23,78330000
Buenos Aires,Florencio Varela,135,Don José,0,5,80,5,33510000
Buenos Aires,José C. Paz,993,Frino,0,1,32,0,10210000
Buenos Aires,Junín,525,Las Marías,0,0,1,0,240000
Buenos Aires,Avellaneda,1013,Madariaga,0,3,38,5,13210000
Buenos Aires,Tordillo,335,Paraje Villa Roch,0,0,3,2,1200000
Buenos Aires,Villa Gesell,1030,La Esperanza,1,2,70,9,26920000
Buenos Aires,Lobos,301,Pym,0,0,3,0,580000
Buenos Aires,San Vicente,1046,Santa Ana,0,5,96,7,35380000
Buenos Aires,Ensenada,900,Club de Pesca,0,0,15,0,4330000
Buenos Aires,La Plata,1065,La Piedad,0,7,176,13,56310000
Buenos Aires,Pilar,255,San Souci,0,3,55,5,20900000
Buenos Aires,La Plata,1083,29 y 90,0,4,78,9,28680000
Buenos Aires,Quilmes,1281,Veinticuatro de Marzo,0,0,12,0,2880000
Buenos Aires,La Plata,1100,Sin Nombre,0,1,11,0,3320000
Buenos Aires,Moreno,1280,Mayor del Pino,0,1,22,2,8140000
Buenos Aires,San Nicolás,275,Martínez,1,1,29,3,9000000
Buenos Aires,9 de Julio,517,Los Aromos,0,0,18,3,5980000
