Provincia,Municipio,ID RENABAP,Barrio,Nombre de la obra,Unidad Ejecutora,Estado,Inversión total,Familias beneficiarias,Avance físico
Buenos Aires,Necochea,629,Barrio Los Malvones,"Veredas, Cordón cuneta, Pluviales, Alumbrado, Red de agua, Conexiones de agua, Red cloacal en Barrio Los Malvones",Municipio,Terminado,104732597.29999995,96,1.00002
Buenos Aires,Tandil,4282/608,Movediza I y II,"Veredas, Conexiones eléctricas, Conexiones de agua, Conexiones a la cloaca en Movediza I y II",OSC,Terminado,225958394.26,193,1
Chaco,Resistencia,2235,Los Aromitos,Centro comunitario en Los Aromitos,Provincia,Terminado,23652933.369999997,30,1
Buenos Aires,Castelli,4518,Frigorífico,"Calles, Veredas, Cordón cuneta en Frigorífico",Municipio,Terminado,19769542.39,13,1
Buenos Aires,General Pueyrredón,4296,Santa Rosa del Mar,"Veredas, Centro comunitario + Centro de recreación y deporte en Santa Rosa del Mar",OSC,Terminado,84297812.11,150,1
Buenos Aires,General San Martín,4549,Ocho de Mayo,Conexiones de agua en Ocho de Mayo,OSC,Terminado,105982567.18,51,1
Chaco,Fontana,2349/2350/2330,"Barrio Independencia 1 , 2 y 3","Calles, Veredas, Cordón cuneta, Alumbrado, Conexiones eléctricas en Barrio Independencia 1 , 2 y 3",Municipio,Terminado,163749894.42000002,106,1
Buenos Aires,San Isidro,2939,Sauce,"Veredas, Conexiones eléctricas en Sauce",OSC,Terminado,24222429.630000003,150,1
Tucumán,San Miguel De Tucumán,2779,Ciudadela Norte,"Red de agua, Conexiones de agua, Red cloacal en Ciudadela Norte",Provincia,Terminado,189517374.5,290,1
Buenos Aires,José C. Paz,1564,Sol y Verde II,Conexiones eléctricas en Sol y Verde II,OSC,Terminado,46674018.809999995,131,1
Chaco,Las Breñas,3822,Quinta Ruiz,"Veredas, Conexiones eléctricas en Quinta Ruiz",OSC,Terminado,68216323.76,178,1
Jujuy,Palpalá,3236,San Roque,"Veredas, Pluviales, Conexiones eléctricas en San Roque",OSC,Terminado,307461863.14,181,1
Chaco,Resistencia,2295,Ex Campo Zampa,Conexiones eléctricas en Ex Campo Zampa,OSC,Terminado,28028318.02,50,1
Buenos Aires,General San Martín,1173,Costa del Lago,"Conexiones de agua, Conexiones a la cloaca en Costa del Lago",OSC,Terminado,108896281.77000001,101,1
Santiago del Estero,Santiago Del Estero,4354,La Católica,"Mejoramientos de vivienda en Santiago Del Estero, Santiago del Estero",OSC,Terminado,21761846.51,30,1
Buenos Aires,Berisso,999,Villa Argüello,Conexiones eléctricas en Villa Argüello,OSC,Terminado,51742622.589999996,315,1
Santiago del Estero,La Banda,3524,Independencia,"Veredas, Centro comunitario en Independencia",OSC,Terminado,53767435.92,125,1
Buenos Aires,Tandil,611/4283,Villa Gaucho/ Unión,"Conexiones eléctricas, Conexiones de agua en Villa Gaucho/ Unión",OSC,Terminado,58543539.14,138,1
Santiago del Estero,Quimili,3514,Las 3 Rosas,"Veredas, Espacio verde, en Las 3 Rosas",OSC,Terminado,112976171.36999999,100,1
Buenos Aires,Moreno,4445,Tres de Febrero,Centro comunitario en Tres de Febrero,OSC,Terminado,92886435.16,195,1
Buenos Aires,Lobos,1078,Hipódromo,"Veredas, Conexiones eléctricas, Conexiones de agua en Hipódromo",OSC,Terminado,103301422.97,79,1
Buenos Aires,Quilmes,1282,Nueve de Agosto,"Centro comunitario, Conexiones eléctricas, Conexiones de agua en Nueve de Agosto",OSC,Terminado,172958695.89000002,82.2,1
Buenos Aires,La Matanza,1335,El Trébol,Conexiones de agua en El Trébol,OSC,Terminado,58784014.8,142,1
Formosa,Formosa,3059,Virgen de Pompeya,Conexiones eléctricas en Virgen de Pompeya,OSC,Terminado,194387053.39000002,80,1
Salta,Salta Capital,2082,Juan Manuel de Rosas,Pluviales en Juan Manuel de Rosas,Municipio,Terminado,347171729.93999994,780,1
Buenos Aires,Baradero,213,La Igualdad,"Conexiones de agua, Conexiones a la cloaca en La Igualdad",Municipio,Terminado,82228630.87,124,1
Río Negro,El Bolsón,4238,Tres de Mayo,"Red eléctrica, Conexiones eléctricas en Tres de Mayo",Municipio,Terminado,8181595.029999999,69,1
Buenos Aires,General Pueyrredón,4295,San Jacinto,"Veredas, Centro comunitario + Centro de recreación y deporte en San Jacinto",OSC,Terminado,78147848.10000001,153,1
Buenos Aires,San Vicente,429,Hospital,Veredas en Hospital,OSC,Terminado,50868936.1,25,1
Buenos Aires,La Matanza,1363,El Porvenir,Conexiones de agua en El Porvenir,Municipio,Terminado,21875945.43,78,1
Buenos Aires,Tigre,436,San Jorge,"Veredas, Conexiones eléctricas en San Jorge",OSC,Terminado,66495982.76,200,1
Santa Fe,Villa Constitución,4193/4194,Santa Teresita y Prefectura,Cordón cuneta en Santa Teresita y Prefectura,Municipio,Terminado,4771398.93,193,1
Buenos Aires,Pilar,4342,Agustoni,"Veredas, Pluviales, Alumbrado en Agustoni",Municipio,Terminado,131351698.32,1460,1
Chaco,Fontana,2234,Anunciación,"Calles, Veredas, Cordón cuneta, Red eléctrica, Conexiones eléctricas, Red cloacal, Conexiones a la cloaca en Anunciación",Municipio,Terminado,252669616.38,104,1
Misiones,Oberá,1969,Caballeriza,"Alumbrado, Red eléctrica, Red de agua, Conexiones de agua, Red cloacal, Conexiones a la cloaca en Caballeriza",Provincia,Terminado,291638794.06,339,1
Buenos Aires,Lomas de Zamora,273,Santa Catalina,"Mejoramientos de vivienda en Lomas de Zamora, Buenos Aires",OSC,Terminado,20132220.49,28,1
Buenos Aires,Exaltación de la Cruz,309,La Plegaria,"Calles, Pluviales en La Plegaria",Municipio,Terminado,54731818.5,20,1
Tucumán,San Miguel De Tucumán,2745,ATE,"Conexiones eléctricas, Conexiones de agua, Conexiones a la cloaca, Núcleos húmedos en ATE",OSC,Terminado,181914384.23,51,1
Buenos Aires,Florencio Varela,482,Santa Ana II,Conexiones eléctricas en Santa Ana II,OSC,Terminado,9538809.649999999,50,1
Buenos Aires,Florencio Varela,1192,Barrio Paraná,"Mejoramientos de vivienda en Florencio Varela, Buenos Aires",OSC,Terminado,24423533,31,1
Córdoba,Villa María,4230,La Calera,Centro comunitario en La Calera,Municipio,Terminado,58129232.05,42,1
