fid,renabap_id,nombre_barrio,provincia,departamento,localidad,cantidad_familias_aproximada,cantidad_viviendas_aproximadas,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,situacion_dominial,clasificacion_barrio,superficie_m2,WKT
1,1,Monterrey I,Buenos Aires,Pilar,Presidente Derqui,44,40,Década 1990,,Conexión regular a la red con medidor prepago,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,11674,"MULTIPOLYGON (((-58.8335009011456 -34.4812767707182,-58.8338336443074 -34.4808671420108,-58.833401356863 -34.4806110756358,-58.8334549492993 -34.4805348258848,-58.8331687654129 -34.4803714858321,-58.8328126552738 -34.480896232575,-58.8327486104317 -34.480953113597,-58.8326849877467 -34.4809655384536,-58.8320260003996 -34.4817949997394,-58.8328279996124 -34.4822110000376,-58.8331120001187 -34.4818549998084,-58.83259999989 -34.4815740003398,-58.832962000396 -34.4811190000418,-58.8334383660923 -34.4813466202201,-58.8335009011456 -34.4812767707182)))"
2,2,Malvinas II,Buenos Aires,La Plata,José Melchor Romero,319,290,Década 1990,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,98034,"MULTIPOLYGON (((-58.0120004835292 -34.9473196698925,-58.009108569 -34.944667475,-58.0079524625309 -34.9454970409061,-58.0088824294695 -34.9463660576595,-58.0077743061939 -34.9471639211965,-58.0098163070646 -34.9489937387756,-58.0099659113472 -34.9491201020913,-58.0121518558232 -34.9474655662931,-58.0120004835292 -34.9473196698925)))"
3,3,Ferroviario,Buenos Aires,La Plata,Angel Etcheverry,146,133,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,75850,"MULTIPOLYGON (((-58.0798035302329 -35.0350737628868,-58.0795750785506 -35.0351773346625,-58.0794172140809 -35.0353919703667,-58.0909954812217 -35.0458889764796,-58.0914287524407 -35.0456921531953,-58.091257348132 -35.0454958723798,-58.089855595578 -35.0442218634144,-58.0874306815871 -35.0420359084758,-58.0830583727693 -35.0380343246592,-58.0798035302329 -35.0350737628868)))"
4,4,La Favelita,Buenos Aires,La Plata,Tolosa,134,122,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,36865,"MULTIPOLYGON (((-57.9799139743844 -34.9083356528461,-57.9799446502346 -34.9083771121941,-57.9808689260664 -34.9076939953937,-57.9794463546212 -34.9063891427946,-57.9777343472026 -34.9076682263222,-57.9787429210764 -34.9086124637807,-57.9793655924008 -34.908143831093,-57.9797247911538 -34.9084763183844,-57.9799139743844 -34.9083356528461)))"
5,5,Casaca,Buenos Aires,La Plata,City Bell,22,20,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,25754,"MULTIPOLYGON (((-58.0629703668204 -34.9013418887833,-58.0632797004983 -34.9016374166367,-58.0633405626057 -34.9019002502643,-58.0633476193478 -34.9021862999753,-58.0631918303478 -34.9025223149753,-58.0632111154497 -34.9027425223392,-58.0630814312804 -34.9029181367948,-58.063129715315 -34.9032013070616,-58.0647615320347 -34.9028203732667,-58.0648651698566 -34.902741388306,-58.0642646928567 -34.901134682306,-58.06418493795 -34.9010799378815,-58.0640776056045 -34.9010812038123,-58.0629703668204 -34.9013418887833)))"
6,6,La Güemes,Buenos Aires,La Plata,Manuel B. Gonnet,13,12,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,3422,"MULTIPOLYGON (((-58.0466723439999 -34.8878802909999,-58.046822548 -34.887959496,-58.0469459299999 -34.8883907229999,-58.0471819639999 -34.88835112,-58.047332168 -34.8883071179999,-58.047267795 -34.8880475019999,-58.0469298359999 -34.887660276,-58.046613336 -34.8875810709999,-58.0464363099999 -34.88772188,-58.046516776 -34.887928694,-58.0466723439999 -34.8878802909999)))"
7,7,8 y 489,Buenos Aires,La Plata,Manuel B. Gonnet,25,23,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,6551,"MULTIPOLYGON (((-58.0193710445287 -34.8698970519912,-58.0190638399075 -34.8694146926981,-58.0180228967069 -34.8698919055462,-58.0183236802356 -34.8703697716124,-58.0193710445287 -34.8698970519912)))"
8,8,La Fábrica,Buenos Aires,La Plata,Gorina,204,185,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,48477,"MULTIPOLYGON (((-58.0495658056441 -34.9006214986955,-58.0481138234745 -34.9009921526774,-58.0479914856686 -34.9008506168627,-58.0479434138897 -34.900840543595,-58.0478617230931 -34.9008123150115,-58.0477384752334 -34.9008266283745,-58.0475917158358 -34.9008395521668,-58.0476081150333 -34.9008897630346,-58.047493141426 -34.9009115870033,-58.0475400329855 -34.9010494942837,-58.0474697510678 -34.901071047823,-58.047495693711 -34.9011639355853,-58.0475715802146 -34.9011441359712,-58.0477444422939 -34.9011087268354,-58.0479972524409 -34.9018871390062,-58.048044870764 -34.9021845250892,-58.0472768192316 -34.9028722819592,-58.0472387270516 -34.9030499930074,-58.0476723020487 -34.9034110297236,-58.0487835135717 -34.9031238607447,-58.0502549553418 -34.9027619233867,-58.0498065315273 -34.901396757717,-58.0484300201337 -34.9017238639692,-58.0483446069251 -34.9014488192576,-58.0497301020586 -34.9011180016094,-58.0495658056441 -34.9006214986955)))"
9,10,Hijos de Malvinas,Buenos Aires,La Plata,José Melchor Romero,121,110,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,37407,"MULTIPOLYGON (((-58.0163771384788 -34.9475578040404,-58.0174669286541 -34.9467744954205,-58.0153872345573 -34.9448478230558,-58.014372455281 -34.945643370148,-58.0145601313174 -34.9458177593853,-58.0145285751697 -34.9458559589326,-58.0163771384788 -34.9475578040404)))"
10,11,514 y 138,Buenos Aires,La Plata,José Hernández,65,59,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,42301,"MULTIPOLYGON (((-58.0258278040539 -34.9120080607027,-58.023428539 -34.9125004809999,-58.0229810887836 -34.9127067283785,-58.021405549757 -34.9129400626218,-58.0204457966745 -34.9131652802167,-58.0205503946476 -34.9136883968366,-58.020857141973 -34.9139488677566,-58.0216430858648 -34.9146800489457,-58.0235018803508 -34.913262411757,-58.023219471127 -34.912868769776,-58.0258982560539 -34.9122351467027,-58.0258278040539 -34.9120080607027)))"
