fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
1,1,Monterrey I,Buenos Aires,Pilar,Presidente Derqui,40,44,Década 1990,,Conexión regular a la red con medidor prepago,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,11674,"MULTIPOLYGON (((-58.8335009011456 -34.4812767707182,-58.8338336443074 -34.4808671420108,-58.833401356863 -34.4806110756358,-58.8334549492993 -34.4805348258848,-58.8331687654129 -34.4803714858321,-58.8328126552738 -34.480896232575,-58.8327486104317 -34.480953113597,-58.8326849877467 -34.4809655384536,-58.8320260003996 -34.4817949997394,-58.8328279996124 -34.4822110000376,-58.8331120001187 -34.4818549998084,-58.83259999989 -34.4815740003398,-58.832962000396 -34.4811190000418,-58.8334383660923 -34.4813466202201,-58.8335009011456 -34.4812767707182)))"
2,2,Malvinas II,Buenos Aires,La Plata,José Melchor Romero,290,319,Década 1990,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,98093,"MULTIPOLYGON (((-58.0120004835292 -34.9473196698925,-58.009108569 -34.944667475,-58.0079524625309 -34.9454970409061,-58.0088824294695 -34.9463660576595,-58.0077743061939 -34.9471639211965,-58.0098163070646 -34.9489937387756,-58.0099659113472 -34.9491201020913,-58.0121518558232 -34.9474655662931,-58.0120004835292 -34.9473196698925)))"
3,3,Ferroviario,Buenos Aires,La Plata,Angel Etcheverry,133,146,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,75887,"MULTIPOLYGON (((-58.0798035302329 -35.0350737628868,-58.0795750785506 -35.0351773346625,-58.0794172140809 -35.0353919703667,-58.0909954812217 -35.0458889764796,-58.0914287524407 -35.0456921531953,-58.091257348132 -35.0454958723798,-58.089855595578 -35.0442218634144,-58.0874306815871 -35.0420359084758,-58.0830583727693 -35.0380343246592,-58.0798035302329 -35.0350737628868)))"
4,4,La Favelita,Buenos Aires,La Plata,Tolosa,122,134,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,36889,"MULTIPOLYGON (((-57.9799139743844 -34.9083356528461,-57.9799446502346 -34.9083771121941,-57.9808689260664 -34.9076939953937,-57.9794463546212 -34.9063891427946,-57.9777343472026 -34.9076682263222,-57.9787429210764 -34.9086124637807,-57.9793655924008 -34.908143831093,-57.9797247911538 -34.9084763183844,-57.9799139743844 -34.9083356528461)))"
5,5,Casaca,Buenos Aires,La Plata,City Bell,20,22,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,25768,"MULTIPOLYGON (((-58.0629703668204 -34.9013418887833,-58.0632797004983 -34.9016374166367,-58.0633405626057 -34.9019002502643,-58.0633476193478 -34.9021862999753,-58.0631918303478 -34.9025223149753,-58.0632111154497 -34.9027425223392,-58.0630814312804 -34.9029181367948,-58.063129715315 -34.9032013070616,-58.0647615320347 -34.9028203732667,-58.0648651698566 -34.902741388306,-58.0642646928567 -34.901134682306,-58.06418493795 -34.9010799378815,-58.0640776056045 -34.9010812038123,-58.0629703668204 -34.9013418887833)))"
6,6,La Güemes,Buenos Aires,La Plata,Manuel B. Gonnet,12,13,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,3424,"MULTIPOLYGON (((-58.0466723439999 -34.8878802909999,-58.046822548 -34.887959496,-58.0469459299999 -34.8883907229999,-58.0471819639999 -34.88835112,-58.047332168 -34.8883071179999,-58.047267795 -34.8880475019999,-58.0469298359999 -34.887660276,-58.046613336 -34.8875810709999,-58.0464363099999 -34.88772188,-58.046516776 -34.887928694,-58.0466723439999 -34.8878802909999)))"
7,7,8 y 489,Buenos Aires,La Plata,Manuel B. Gonnet,23,25,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,12698,"MULTIPOLYGON (((-58.0183102981503 -34.8703718869103,-58.017740660877 -34.86948607482,-58.0187910929132 -34.8690261841773,-58.0188441451057 -34.8690367539336,-58.0188911222966 -34.8690716177966,-58.0194129904868 -34.8698858661174,-58.0183102981503 -34.8703718869103)))"
8,8,La Fábrica,Buenos Aires,La Plata,Gorina,200,220,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,55095,"MULTIPOLYGON (((-58.0497741042601 -34.9010971556627,-58.050358847336 -34.9028099898104,-58.0486208478361 -34.9032237325697,-58.0477004387523 -34.9034454805694,-58.0475446724512 -34.9033053670233,-58.0475859066136 -34.9032694014082,-58.0473599843773 -34.9030781557248,-58.0472282528021 -34.9029641527101,-58.0478474550572 -34.9024236899399,-58.0481425285911 -34.9021262780157,-58.0477948717396 -34.9010958456093,-58.0475715802146 -34.9011441359712,-58.047495693711 -34.9011639355853,-58.0474175675614 -34.9009435679715,-58.0479568551454 -34.9008123083904,-58.0480180144291 -34.9008513505003,-58.0481437926904 -34.900668185582,-58.0482863732344 -34.9007630257012,-58.0483518684525 -34.9009293671245,-58.0495943847102 -34.9006094131751,-58.0497741042601 -34.9010971556627)))"
9,10,Hijos de Malvinas,Buenos Aires,La Plata,José Melchor Romero,110,121,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,37429,"MULTIPOLYGON (((-58.0163771384788 -34.9475578040404,-58.0174669286541 -34.9467744954205,-58.0153872345573 -34.9448478230558,-58.014372455281 -34.945643370148,-58.0145601313174 -34.9458177593853,-58.0145285751697 -34.9458559589326,-58.0163771384788 -34.9475578040404)))"
10,11,514 y 138,Buenos Aires,La Plata,José Hernández,59,65,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,42326,"MULTIPOLYGON (((-58.0258278040539 -34.9120080607027,-58.023428539 -34.9125004809999,-58.0229810887836 -34.9127067283785,-58.021405549757 -34.9129400626218,-58.0204457966745 -34.9131652802167,-58.0205503946476 -34.9136883968366,-58.020857141973 -34.9139488677566,-58.0216430858648 -34.9146800489457,-58.0235018803508 -34.913262411757,-58.023219471127 -34.912868769776,-58.0258982560539 -34.9122351467027,-58.0258278040539 -34.9120080607027)))"
